action_resource_type_id,action_id,resource_type_id,required_flag,dependent_actions
15630,10845,1978,false,[]
15631,10846,1114,true,[]
15632,10846,1978,false,[]
15633,10847,1114,true,[]
15634,10847,1115,true,[]
15635,10847,1978,false,[]
15636,10848,1116,true,[]
15637,10848,1114,false,[]
15638,10848,1978,false,[]
15639,10848,1117,false,[]
15640,10849,1120,true,[]
15641,10849,1978,false,[]
15642,10849,1124,false,[]
15643,10850,1101,true,[]
15644,10850,1118,false,[]
15645,10850,1978,false,[]
15646,10850,1124,true,[]
15647,10851,1118,true,[]
15648,10851,1113,false,[]
15649,10851,1978,false,[]
15650,10852,1125,true,[]
15651,10852,1113,false,[]
15652,10852,1126,false,[]
15653,10852,1978,false,[]
15654,10853,1125,true,[]
15655,10853,1978,false,[]
15656,10854,1126,true,[]
15657,10854,1127,false,[]
15658,10854,1978,false,[]
15659,10855,1126,true,[]
15660,10855,1978,false,[]
15661,10856,1127,true,[]
15662,10856,1978,false,[]
15663,10857,1127,true,[]
15664,10857,1978,false,[]
15665,10858,1129,true,[]
15666,10858,1978,false,[]
15667,10859,1130,true,[]
15668,10859,1978,false,[]
15669,10860,1130,true,[]
15670,10860,1978,false,[]
15671,10861,1136,true,[]
15672,10861,1978,false,[]
15673,10862,1132,true,[]
15674,10862,1106,false,[]
15675,10862,1113,false,[]
15676,10862,1978,false,[]
15677,10862,1107,false,[]
15678,10863,1132,false,[]
15679,10863,1133,false,[]
15680,10863,1978,false,[]
15681,10864,1133,true,[]
15682,10864,1978,false,[]
15683,10865,1133,true,[]
15684,10865,1978,false,[]
15685,10866,1133,true,[]
15686,10866,1978,false,[]
15687,10867,1137,true,[]
15688,10867,1978,false,[]
15689,10868,1136,true,[]
15690,10868,1978,false,[]
15691,10869,1139,true,[]
15692,10869,1978,false,[]
15693,10870,1139,true,[]
15694,10870,1978,false,[]
15695,10871,1139,true,[]
15696,10871,1978,false,[]
15697,10872,1139,true,[]
15698,10872,1978,false,[]
15699,10873,1074,true,[]
15700,10873,1978,false,[]
15701,10874,1978,false,[]
15702,10875,1077,true,[]
15703,10875,1978,false,[]
15704,10876,1130,true,[]
15705,10876,1074,false,[]
15706,10876,1978,false,[]
15707,10877,1978,false,[]
15708,10878,1076,true,[]
15709,10878,1978,false,[]
15710,10879,1077,true,[]
15711,10879,1978,false,[]
15712,10880,1077,true,[]
15713,10880,1082,true,[]
15714,10880,1978,false,[]
15715,10881,1054,true,[ec2:CreateTags]
15716,10881,1978,false,[]
15717,10882,1059,true,[ec2:CreateTags]
15718,10882,1978,false,[]
15719,10883,1978,false,[]
15720,10884,1978,false,[]
15721,10885,1077,false,[]
15722,10885,1100,false,[]
15723,10885,1126,false,[]
15724,10885,1978,false,[]
15725,10886,1074,true,[]
15726,10886,1978,false,[]
15727,10887,1109,false,[]
15728,10887,1978,false,[]
15729,10887,1069,true,[ec2:CreateTags]
15730,10888,1978,false,[]
15731,10889,1099,true,[]
15732,10889,1121,true,[]
15733,10889,1978,false,[]
15734,10890,1099,true,[]
15735,10890,1121,true,[]
15736,10890,1978,false,[]
15737,10891,1118,false,[]
15738,10891,1121,false,[]
15739,10891,1978,false,[]
15740,10892,1118,true,[]
15741,10892,1978,false,[]
15742,10893,1118,true,[]
15743,10893,1978,false,[]
15744,10894,1133,true,[]
15745,10894,1978,false,[]
15746,10895,1137,true,[]
15747,10895,1978,false,[]
15748,10896,1052,false,[]
15749,10896,1978,false,[]
15750,10897,1059,true,[]
15751,10897,1978,false,[]
15752,10898,1077,true,[]
15753,10898,1978,false,[]
15754,10899,1074,true,[iam:PassRole]
15755,10899,1978,false,[]
15756,10900,1094,true,[]
15757,10900,1113,true,[]
15758,10900,1978,false,[]
15759,10901,1094,true,[]
15760,10901,1978,false,[]
15761,10902,1106,true,[]
15762,10902,1978,false,[]
15763,10903,1106,true,[]
15764,10903,1075,false,[]
15765,10903,1082,false,[]
15766,10903,1083,false,[]
15767,10903,1113,false,[]
15768,10903,1140,false,[]
15769,10903,1978,false,[]
15770,10904,1118,false,[]
15771,10904,1978,false,[]
15772,10904,1124,true,[]
15773,10905,1139,true,[]
15774,10905,1978,false,[]
15775,10906,1978,false,[]
15776,10907,1110,true,[ec2:CreateTags]
15777,10907,1084,false,[]
15778,10907,1085,false,[]
15779,10907,1100,false,[]
15780,10907,1109,false,[]
15781,10907,1113,false,[]
15782,10907,1978,false,[]
15783,10907,1069,false,[]
15784,10907,1107,false,[]
15785,10908,1111,true,"[ec2:CreateTags, iam:PassRole]"
15786,10908,1084,false,[]
15787,10908,1099,false,[]
15788,10908,1100,false,[]
15789,10908,1109,false,[]
15790,10908,1113,false,[]
15791,10908,1978,false,[]
15792,10908,1069,false,[]
15793,10908,1107,false,[]
15794,10909,1052,true,[]
15795,10909,1978,false,[]
15796,10910,1978,false,[]
15797,10911,1067,true,[]
15798,10911,1978,false,[]
15799,10912,1978,false,[]
15800,10912,1069,true,[]
15801,10913,1074,true,[]
15802,10913,1978,false,[]
15803,10914,1099,true,[]
15804,10914,1978,false,[]
15805,10915,1109,true,[]
15806,10915,1978,false,[]
15807,10916,1978,false,[]
15808,10917,1978,false,[]
15809,10917,1069,true,[]
15810,10918,1101,true,[]
15811,10918,1978,false,[]
15812,10919,1109,true,[]
15813,10919,1978,false,[]
15814,10920,1109,true,[]
15815,10920,1978,false,[]
15816,10921,1978,false,[]
15817,10921,1057,true,[]
15818,10922,1978,false,[]
15819,10922,1107,true,[]
15820,10923,1978,false,[]
15821,10923,1107,true,[]
15822,10924,1074,true,[]
15823,10924,1099,true,[]
15824,10924,1113,true,[]
15825,10924,1054,false,[]
15826,10924,1062,false,[]
15827,10924,1063,false,[]
15828,10924,1104,false,[]
15829,10924,1084,false,[]
15830,10924,1085,false,[]
15831,10924,1100,false,[]
15832,10924,1109,false,[]
15833,10924,1130,false,[]
15834,10924,1978,false,[]
15835,10924,1069,true,"[ec2:CreateTags, iam:PassRole, ssm:GetParameters]"
15836,10924,1107,true,[]
15837,10924,1086,false,[]
15838,10925,1978,false,[]
15839,10926,1090,true,[]
15840,10926,1978,false,[]
15841,10927,1121,true,[]
15842,10927,1978,false,[]
15843,10928,1978,false,[]
15844,10928,1124,true,[]
15845,10929,1074,true,[]
15846,10929,1978,false,[]
15847,10930,1074,true,[]
15848,10930,1978,false,[]
15849,10931,1074,true,[]
15850,10931,1978,false,[]
15851,10931,1086,false,[]
15852,10932,1096,true,[ec2:CreateTags]
15853,10932,1978,false,[]
15854,10932,1095,true,[]
15855,10933,1097,true,[ec2:CreateTags]
15856,10933,1098,true,[]
15857,10933,1978,false,[]
15858,10934,1133,true,[]
15859,10934,1978,false,[]
15860,10935,1074,true,[]
15861,10935,1978,false,[]
15862,10936,1978,false,[]
15863,10936,1057,true,[]
15864,10937,1074,true,[]
15865,10937,1978,false,[]
15866,10938,1099,true,[]
15867,10938,1978,false,[]
15868,10939,1099,true,[]
15869,10939,1978,false,[]
15870,10940,1093,true,[]
15871,10940,1978,false,[]
15872,10941,1109,true,[]
15873,10941,1978,false,[]
15874,10942,1074,true,[]
15875,10942,1978,false,[]
15876,10943,1978,false,[]
15877,10943,1107,true,[]
15878,10944,1978,false,[]
15879,10944,1107,true,[]
15880,10945,1978,false,[]
15881,10946,1141,true,[]
15882,10947,1141,true,[]
15883,10947,1979,false,[]
15884,10948,1141,true,[]
15885,10948,1979,false,[]
15886,10949,1141,true,[]
15887,10949,1979,false,[]
15888,10950,1141,true,[]
15889,10951,1141,true,[]
15890,10952,1141,true,[]
15891,10953,1141,true,[]
15892,10954,1141,true,"[iam:CreateServiceLinkedRole, iam:PassRole]"
15893,10954,1979,false,[]
15894,10955,1142,true,[]
15895,10955,1979,false,[]
15896,10956,1141,true,[]
15897,10956,1979,false,[]
15898,10957,1141,true,[]
15899,10958,1142,true,[]
15900,10959,1141,true,[]
15901,10960,1141,true,[]
15902,10961,1141,true,[]
15903,10962,1141,true,[]
15904,10963,1141,true,[]
15905,10963,1979,false,[]
15906,10964,1141,true,[]
15907,10965,1979,false,[]
15908,10966,1979,false,[]
15909,10967,1979,false,[]
15910,10968,1979,false,[]
15911,10969,1979,false,[]
15912,10970,1979,false,[]
15913,10971,1979,false,[]
15914,10972,1979,false,[]
15915,10973,1979,false,[]
15916,10974,1979,false,[]
15917,10975,1979,false,[]
15918,10976,1979,false,[]
15919,10977,1979,false,[]
15920,10978,1979,false,[]
15921,10979,1979,false,[]
15922,10980,1979,false,[]
15923,10981,1979,false,[]
15924,10982,1979,false,[]
15925,10983,1979,false,[]
15926,10984,1979,false,[]
15927,10985,1979,false,[]
15928,10986,1141,true,[]
15929,10987,1141,true,[]
15930,10987,1979,false,[]
15931,10988,1141,true,[]
15932,10988,1979,false,[]
15933,10989,1141,true,[]
15934,10989,1979,false,[]
15935,10990,1141,true,[]
15936,10991,1141,true,[]
15937,10992,1141,true,[]
15938,10993,1141,true,[]
15939,10994,1141,true,[]
15940,10995,1979,false,[]
15941,10996,1141,true,[]
15942,10997,1141,true,[]
15943,10998,1141,true,[]
15944,10999,1141,true,[]
15945,10999,1979,false,[]
15946,11000,1141,true,[]
15947,11001,1141,true,[]
15948,11002,1141,true,[]
15949,11003,1141,true,[]
15950,11004,1141,true,[]
15951,11005,1141,true,[]
15952,11006,1141,true,[]
15953,11007,1141,true,[]
15954,11008,1141,true,[]
15955,11009,1141,true,[]
15956,11010,1141,true,[iam:PassRole]
15957,11010,1979,false,[]
15958,11011,1146,true,[]
15959,11012,1153,true,[]
15960,11013,1143,true,"[iam:CreateServiceLinkedRole, imagebuilder:TagResource, kms:Encrypt, kms:GenerateDataKey, kms:GenerateDataKeyWithoutPlaintext]"
15961,11014,1149,true,"[ecr:DescribeImages, ecr:DescribeRepositories, iam:CreateServiceLinkedRole, imagebuilder:GetComponent, imagebuilder:GetImage, imagebuilder:TagResource, kms:Encrypt, kms:GenerateDataKey, kms:GenerateDataKeyWithoutPlaintext]"
15962,11015,1145,true,"[iam:CreateServiceLinkedRole, imagebuilder:TagResource]"
15963,11016,1146,true,"[iam:CreateServiceLinkedRole, iam:PassRole, imagebuilder:GetContainerRecipe, imagebuilder:GetDistributionConfiguration, imagebuilder:GetImageRecipe, imagebuilder:GetInfrastructureConfiguration, imagebuilder:GetWorkflow, imagebuilder:TagResource]"
