action_dependent_action_id,action_resource_type_id,action_id,dependent_action_id
1652,6137,4408,4447
1653,6447,4657,2366
1654,6557,4755,4771
1655,13929,9605,9651
1656,14085,9696,9101
1657,13498,9396,9038
1658,20638,14227,13379
1659,21138,14643,14673
1660,3106,2314,2288
1661,3106,2314,9211
1662,3106,2314,984
1663,10248,7442,13368
1664,12264,8822,9138
1665,12264,8822,9291
1666,10389,7549,7975
1667,12266,8823,9291
1668,11509,8406,2152
1669,11478,8395,3406
1670,18507,12798,5696
1671,20374,14062,10080
1672,20388,14076,10089
1673,17075,11802,13337
1674,2360,1800,1841
1675,18429,12765,5696
1676,7688,5554,947
1677,12380,8902,3460
1678,20768,14339,7948
1679,6449,4659,2372
1680,7530,5437,5545
1681,4410,3188,3174
1682,16154,11107,11110
1683,12268,8824,9245
1684,12268,8824,9257
1685,20738,14317,13379
1686,685,458,9514
1687,688,460,474
1688,690,462,9150
1689,2463,1871,1762
1690,12264,8822,5701
1691,12279,8830,9257
1692,12266,8823,9257
1693,18507,12798,4409
1694,20366,14054,3404
1695,20374,14062,10076
1696,20388,14076,3509
1697,20388,14076,13421
1698,17155,11835,9022
1699,8421,6113,2152
1700,8259,5990,13362
1701,21234,14717,3406
1702,12700,9036,9038
1703,16210,11159,11169
1704,172,110,35
1705,687,459,424
1706,1850,1413,1402
1707,3106,2314,9427
1708,12264,8822,5703
1709,12266,8823,9138
1710,19877,13721,3506
1711,19908,13738,3506
1712,20361,14049,2854
1713,20373,14061,10076
1714,16858,11639,9257
1715,16858,11639,3406
1716,5717,4147,3698
1717,6196,4441,4447
1718,690,462,8967
1719,690,462,9191
1720,2866,2132,9293
1721,12263,8821,5699
1722,11029,8079,1407
1723,18279,12679,12682
1724,20655,14243,14250
1725,685,458,9281
1726,1178,824,7949
1727,1839,1405,1410
1728,1976,1520,3506
1729,16955,11696,9060
1730,18333,12697,12703
1731,20374,14062,3424
1732,4319,3117,5143
1733,20661,14248,14250
1734,20695,14274,14250
1735,690,462,9521
1736,16955,11696,9257
1737,18507,12798,5712
1738,21186,14680,9413
1739,1882,1434,1441
1740,8521,6187,7981
1741,17253,11911,2152
1742,19872,13719,13691
1743,20385,14073,13673
1744,8214,5956,984
1745,11029,8079,13325
1746,17001,11738,7970
1747,13959,9629,3406
1748,685,458,9427
1749,3633,2650,3506
1750,12266,8823,9245
1751,20387,14075,10095
1752,15535,10638,3509
1753,20374,14062,3491
1754,20388,14076,3406
1755,605,382,363
1756,1172,821,2938
1757,1221,854,7954
1758,1221,854,8004
1759,1335,947,967
1760,1893,1445,4542
1761,2374,1814,1845
