resource_type_id,service_id,name,reference_url,arn_pattern
1128,280,traffic-distribution-group,https://docs.aws.amazon.com/connect/latest/adminguide/setup-traffic-distribution-groups.html,arn:${Partition}:connect:${Region}:${Account}:traffic-distribution-group/${TrafficDistributionGroupId}
1129,280,rule,https://docs.aws.amazon.com/connect/latest/adminguide/connect-rules.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/rule/${RuleId}
1130,280,evaluation-form,https://docs.aws.amazon.com/connect/latest/adminguide/create-evaluation-forms.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/evaluation-form/${FormId}
1131,280,contact-evaluation,https://docs.aws.amazon.com/connect/latest/adminguide/evaluations.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/contact-evaluation/${EvaluationId}
1132,280,prompt,https://docs.aws.amazon.com/connect/latest/adminguide/prompts.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/prompt/${PromptId}
1133,280,customer-managed-view,https://docs.aws.amazon.com/connect/latest/adminguide/view-resources-sg.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/view/${ViewId}
1134,280,aws-managed-view,https://docs.aws.amazon.com/connect/latest/adminguide/view-resources-sg.html,arn:${Partition}:connect:${Region}:aws:view/${ViewId}
1135,280,qualified-customer-managed-view,https://docs.aws.amazon.com/connect/latest/adminguide/view-resources-sg.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/view/${ViewId}:${ViewQualifier}
1136,280,qualified-aws-managed-view,https://docs.aws.amazon.com/connect/latest/adminguide/view-resources-sg.html,arn:${Partition}:connect:${Region}:aws:view/${ViewId}:${ViewQualifier}
1137,280,customer-managed-view-version,https://docs.aws.amazon.com/connect/latest/adminguide/view-resources-sg.html,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/view/${ViewId}:${ViewVersion}
