action_condition_key_id,action_resource_type_id,action_id,condition_key_id
12161,30975,20781,1093
12162,31115,20893,1095
12163,31240,20975,1094
12164,31267,21001,1094
12165,31268,21002,1094
12166,31305,21039,1094
12167,31307,21041,1094
12168,31310,21044,1094
12169,31349,21077,1094
12170,31370,21093,1094
12171,17,7,291
12172,199,122,1093
12173,214,129,1095
12174,218,131,1095
12175,224,133,1095
12176,338,210,1095
12177,342,212,1093
12178,351,215,1093
12179,491,294,1093
12180,533,308,1093
12181,536,310,1093
12182,640,370,1094
12183,775,473,1093
12184,891,574,1093
12185,972,640,1093
12186,1015,678,1094
12187,1100,735,1093
12188,1100,735,1099
12189,1240,845,1093
12190,1263,864,1095
12191,1268,866,1095
12192,1321,903,1095
12193,1385,934,1095
12194,1401,942,1094
12195,1446,971,1095
12196,1520,1027,1093
12197,1618,1098,1094
12198,1626,1102,1095
12199,1634,1106,1093
12200,1642,1112,1095
12201,1698,1155,1095
12202,1721,1166,1095
12203,1725,1169,1095
12204,1727,1171,1093
12205,1865,1254,1095
12206,1867,1255,1093
12207,1876,1260,1095
12208,1881,1263,1095
12209,1898,1272,1093
12210,1908,1277,1095
12211,1935,1293,1095
12212,1939,1297,1095
12213,1953,1306,1093
12214,2036,1349,566
12215,2051,1360,1154
12216,2054,1362,1160
12217,2062,1370,1160
12218,2084,1388,1164
12219,2094,1393,1095
12220,2288,1598,1093
12221,2311,1659,1274
12222,2367,1707,1330
12223,2482,1802,1093
12224,2518,1830,1385
12225,2521,1831,1093
12226,2598,1893,1095
12227,2635,1925,1093
12228,2652,1936,1095
12229,2675,1957,1095
12230,2692,1971,1389
12231,2724,1990,1401
12232,2741,2002,1095
12233,2747,2005,1093
12234,2892,2133,1095
12235,2894,2134,1093
12236,2905,2145,1419
12237,3018,2232,1095
12238,3124,2308,1094
12239,3142,2321,1093
12240,3213,2362,16
12241,3213,2362,17
12242,3248,2388,1095
12243,3292,2423,1093
12244,3335,2443,44
12245,3351,2455,44
12246,3354,2456,1094
12247,3425,2518,1095
12248,3508,2568,23
12249,3508,2568,28
12250,3510,2569,23
12251,3510,2569,28
12252,3524,2579,1095
12253,3709,2702,1094
12254,3759,2742,1095
12255,3766,2745,1095
12256,3768,2746,1095
12257,3772,2747,1094
12258,3917,2843,1095
12259,4126,3004,53
12260,4128,3005,52
12261,4136,3009,52
12262,4138,3010,53
12263,4140,3011,52
12264,4146,3014,53
12265,4180,3035,949
12266,4312,3124,1093
12267,4367,3155,1094
12268,4367,3155,1071
12269,4401,3175,1094
12270,4401,3175,1071
12271,4407,3178,1094
12272,4407,3178,1071
12273,4413,3181,1094
12274,4413,3181,1071
12275,4428,3184,1094
12276,4428,3184,1071
12277,4440,3188,1095
12278,4440,3188,1075
12279,4442,3189,1093
12280,4489,3218,1094
12281,4489,3218,1071
12282,4537,3233,1094
12283,4537,3233,1071
12284,4705,3351,1095
12285,4733,3369,1095
12286,4786,3405,1093
12287,4814,3418,1093
12288,4966,3517,1095
12289,4969,3518,1093
12290,5010,3543,1095
12291,5079,3570,1095
12292,5116,3592,1095
12293,5151,3625,1095
12294,5239,3689,1093
12295,5483,3855,1095
12296,5607,3960,1093
12297,5750,4049,1093
12298,5750,4049,1244
12299,5750,4049,1243
12300,5750,4049,1242
12301,5780,4060,1095
12302,5803,4068,1240
12303,5869,4096,1240
12304,5934,4133,1240
12305,6132,4245,1240
12306,6195,4279,1095
12307,6292,4315,1093
12308,6293,4316,1094
12309,6354,4360,1093
12310,6407,4399,1257
12311,6423,4413,1093
12312,6538,4506,1095
